Country,LAW,"Reproduction + Sharing (all users, all works, some still prohibit commercial uses) (GREEN)","Reproduction, no User Restriction (no sharing) (may be limited to non-commercial) BLUE","Private / Non-commercial + Individual Reproduction Whole Works (Non-commercial, individual, no sharing) (LIGHT BLUE)","Restrictions on User: Institutional Right to Make Research Copies of Full Works
[PURPLE]","Limitations on works, e.g. not whole books, limited to types of works (Orange)",TDM Restricted (Excerpts only) (RED)
Australia,,,,,,"Section 40. Fair dealing for purpose of research or study
(1) A fair dealing with a literary, dramatic, musical or artistic work, or with an adaptation of a literary, dramatic or musical work, for the purpose of research or study does not constitute an infringement of the copyright in the work.
(1A) A fair dealing with a literary work (other than lecture notes) does not constitute an infringement of the copyright in the work if it is for the purpose of, or associated with, an approved course of study or research by an enrolled external student of an educational institution.
(1B) In subsection (1A) the expression lecture notes means any literary work produced for the purpose of the course of study or research by a person lecturing or teaching in or in connection with the course of study or research.
(2) For the purposes of this Act, the matters to which regard shall be had, in determining whether a dealing with a literary, dramatic, musical or artistic work or with an adaptation of a literary, dramatic or musical work, being a dealing by way of reproducing the whole or a part of the work or adaptation, constitutes a fair dealing with the work or adaptation for the purpose of research or study include:
(a) the purpose and character of the dealing;
(b) the nature of the work or adaptation;
(c) the possibility of obtaining the work or adaptation within a reasonable time at an ordinary commercial price;
(d) the effect of the dealing upon the potential market for, or value of, the work or adaptation; and
(e) in a case where part only of the work or adaptation is reproduced—the amount and substantiality of the part copied taken in relation to the whole work or adaptation.

",
Austria,,,,"
Reproduction for own and private use

Section 42. (1) Anyone may make individual copies of a work on paper or a similar medium for their own use.

(2) Anyone may make individual copies of a work on media other than those specified in paragraph 1 for their own use for research purposes, provided this is justified for the pursuit of non-commercial purposes.

(3) Anyone may make copies of works that are published as part of reporting on current events for their own use, provided that the use is analogous.

(4) Any natural person may make individual copies of a work on media other than those specified in paragraph 1 for private use and neither for direct nor indirect commercial purposes.

§ 40h. (1) Section 42 (1), (3) and (4) does not apply to database works. However, any natural person may make individual copies of a database work, the elements of which are not individually accessible by electronic means, for private use and neither for direct nor indirect commercial purposes. (2) Section 42 (2) applies to database works with the proviso that duplication on paper or a similar medium is also permissible.",,,
Azerbaijan,"LAW OF THE REPUBLIC OF AZERBAIJAN ON COPYRIGHT AND RELATED RIGHTS (AS AMENDED UP TO LAW NO. 636-IVQD OF APRIL 30, 2013)
https://wipolex.wipo.int/en/legislation/details/13977",,,,,"Art 17. 1. It shall be permissible to reproduce one copy of works previously published lawfully for personal purposes without the consent of author or other copyright owner and without payment of author’s remuneration, on nonprofit base.
2. The provisions of paragraph 1 of this Article shall not be applied to followings: - reproduction of works of architecture in the form of buildings and structures; - reproduction of databases or substantial parts thereof; - reproduction of computer programs, except for the cases provided for in Article 24 of this Law; - reprographic reproduction of books (on the whole), sheet music and originals works of fine art; - reproduction of work without the consent which communicated to the public interactively; - any reproduction of work prejudicing normal use or unreasonably limiting author’s interests communicated to the public interactively.",
Bahamas,"Copyright Act, 1998 (CH.323) (Act No. 2 of 2004, as amended by the Copyright (Amendment) Act,) (Bah) https://wipolex.wipo.int/en/text/215023","Section 58. Research and private study and teaching. 
(1) Subject to section 60, fair dealing with a copyright work, including such use by reproduction in copies or phonorecords for purposes such as research, private study, scholarship or teaching does not infringe copyright in the work. 
Section 60. Fair Dealing
For the purpose of determining whether an act done in relation to a work constitutes fair dealing, the court determining the question shall take account of all factors which appear to it to be relevant, including —
(a) the nature of the work in question;
(b) the amount and substantiality of that part of the work affected by the act in relation to the whole of the work;
(c) the purpose and character of the use, including whether such use is of a commercial nature or is for non-profit educational purposes; and
(d) the effect of the act upon the potential market for, or the commercial value of, the work.

",,,,,
Bahrain,"Law relating to the Protection of Copyright and Neighbouring Rights, 2006 (Law No. 22 of the Year 2006) (Bahr.), https://www.wipo.int/edocs/lexdocs/laws/en/bh/bh030en.pdf",,,,"Article 22 (Libraries)
In the following two circumstances, it is lawful for non­profit archives or libraries to make one photocopy of a work without the consent of the author and without paying compensation: (b) If the reproduction is of a published article, brief extracts of a work, or a short work, when the archive or library is satisfied that the purpose of the reproduction is to respond to a request by a natural person who wishes to use it for non­commercial study or research, that the reproduction is made just once or on separate and unrelated occasions, and that no collective licence is available to authorise such copying. 

",,
Bangladesh ,"Copyright Act, 2000 (Act No. 28 of 2000) https://wipolex.wipo.int/en/text/583954",**,,,,"72. Certain acts not to be infringement of copyright
(1) The following acts shall not constitute infringement of copyright, namely:-
(1) Fair use of a literary, dramatic, musical or artistic work for the purpose of-
(i) private study or private use including research; or
(ii) criticism or review, whether of that work or any other work;
(...)

",
Bangui Agreement,,,,,,"Article 11. Free Reproduction for Private Purposes
(1) Notwithstanding the provisions of Article 9, and subject to those of paragraph (2) of this Article and those of Article 58, it shall be permitted, without the consent of the author and without payment of remuneration, to reproduce a lawfully published work exclusively for the private use of the user.
(2) Paragraph (1) shall not apply to
(i) the reproduction of works of architecture in the form of buildings or other similar constructions;
(ii) the reprographic reproduction of works of fine art in a limited quantity, the graphical presentation of musical works (scores) and exercise manuals and other publications used once only;
(iii) the reproduction of the whole or of significant parts of databases;
(iv) the reproduction of computer programs, except in the cases provided for in Article 18;
(v) any other reproduction of a work that would prejudice the normal exploitation of the work or would cause unwarranted prejudice to the legitimate interests of the author.

",
Barbados,"Copyright Act, 1998 (Chapter 300, as amended up to Act No. 1 of 2006) https://wipolex.wipo.int/en/text/191403",,,,,"Section 51. Research and private study
Subject to section 53, fair dealing with a literary, dramatic, musical or artistic work for the purposes of research or private study does not infringe copyright in the work or, in the case of a published edition, in the typographical arrangement.
Section 53. Fair Dealing
For the purpose of determining whether an act done in relation to a work constitutes fair dealing, the court determining the question shall take account of all factors that appear to it to be relevant, including
(a) the nature of the work in question;
(b) the extent and portion of that part of the work affected by the act in relation to the whole of the work;
(c) the purpose and character of the use; and
(d) the effect of the act upon the potential market for, or the commercial value of, the work.
",
Belarus,"Law of the Republic of Belarus No. 262-Z of May 17, 2011, on Copyright and Related Rights https://wipolex.wipo.int/en/text/437921",,,,,"Art 35.1. It is allowed to represent duly published works and objects of related rights in single copies by an individual exclusively for personal purposes (for personal use, without pursuing of commercial aims directly or indirectly). Such representation is allowed without payment of royalty unless otherwise stipulated in paragraph 3 of this Article.
2. Provisions of paragraph 1 of this Article do not cover representation of: - works of architecture in the form of buildings and other structures; - databases or their essential parts unless otherwise stipulated by Article 39 of this Law; - computer programs unless otherwise stipulated by Article 39 of this Law; - musical scores and books (fully) by replication; - audiovisual work, drama or musical and drama work, work of choreography, pantomime or other scenario work by video record during public performance at the place with free admission or the place where presented people are not members of family or close relatives of the person making the video record.",
Belgium,"Law of April 19, 2014, On The Insertion Of Book Xi 'Intellectual Property' to The Code Of Economic Law, And Specific Provisions to The Book Xi In Books I, Xv And Xvii Of The Code (Updated On October 30, 2015) https://wipolex.wipo.int/en/text/538860 (French/Dutch only)",,,,,"Article XI.190.
…. 
7 ° the partial or complete reproduction of articles, plastic or graphic works of art or that of short fragments of other works, when this reproduction is made on any support other than on paper or similar support, for the purposes of illustration of teaching or research scientific to the extent justified by the non-profit pursued and does not prejudice the normal exploitation of the work, provided, unless this proves impossible, that the source, including the name of the author, either indicated;
Other relevant articles: Article XI.217.1, Article XI.217.5
",
Belize,"Copyright Act (Chapter 252, Revised Edition 2000) https://wipolex.wipo.int/en/text/125464","Article 56. Research and Private Study 
(1) Subject to subsection (2) and section 58, fair dealing with a protected work for the purposes of research or private study does not infringe copyright in the work.
(2) Copying by a person other than the researcher or student himself is not fair dealing if -
(a) in the case of a librarian, or a person acting on behalf of a librarian, he does anything which Regulations under section 66 would not permit to be done under section 67 or 68 (articles or parts of published works; restriction on multiple copies of same material); or
(b) in any other case, the person doing the copying knows or has reason to believe that it will result in copies of substantially the same material being provided to more than one person at substantially the same time and for substantially the same purpose.
Article 58. Determining Fair dealing
For the purpose of determining whether an act done in relation to a work constitutes fair dealing, the court determining the question shall take account of all factors which appear to it to be relevant, including -
(a) the nature of the work in question;
(b) the extent and substantiality of that part of the work affected by the act in relation to the whole of the work;
(c) the effect of the act upon the potential market for, or the commercial value of, the work; and
(d) the purpose and character of the use.

",,,,,
Benin,"Bangui Agreement, 
also
Law No. 2005-30 of April 5, 2006, on Copyright and Related Rights of the Republic of Benin https://wipolex.wipo.int/en/text/260895",,,,,"Bangui. Article 11. Free Reproduction for Private Purposes
(1) Notwithstanding the provisions of Article 9, and subject to those of paragraph (2) of this Article and those of Article 58, it shall be permitted, without the consent of the author and without payment of remuneration, to reproduce a lawfully published work exclusively for the private use of the user.

UPDATE: Article 10
Free reproduction for private purposes
(1)Notwithstanding the provisions of Article 8, and subject to those of paragraph 2 of 
this article, it shall be permitted to reproduce a lawfully published work exclusively 
for the private use of the user without the consent of the author and without 
payment of remuneration.
(2)Paragraph (1) shall not apply to the following:
(i) the reproduction of works of architecture in the form of buildings or 
other similar constructions;
(ii) the reprographic reproduction of an entire book, works of fine art, 
or a graphical presentation of musical works, and exercise manuals 
and other publications used once only;
(iii) the reproduction of the whole or of significant parts of databases;
(iv) the reproduction of computer programs, except in the cases 
provided for in Article 17;
(v) copies of software other than the backup copy; and
(vi) any other reproduction of a work that would prejudice the normal 
exploitation of the work or would cause unwarranted prejudice to 
the legitimate interests of the author.",
Bhutan,"Copyright Act of the Kingdom of Bhutan, 2001 https://wipolex.wipo.int/en/text/166215",,,,,"Section 13. (Reprographic Reproduction by Libraries and Archives)
Notwithstanding the provisions of Section 8(1)(a), a library or archive whose activities do not serve direct or indirect gain may, without the authorization of the author of, or other owner of copyright in, the work, make a single copy of the work by reprographic reproduction.
a. where the work reproduced is a published article or other short work or short extract of a writing, with or without illustrations, and where the purpose of the reproduction is to satisfy the request of a physical person, provided that -
i) the library or archive is satisfied that the copy will be used solely for the purpose of study, scholarship or private research,

",
Bolivia ,"Law No.1322 of April 13, 1992, on Copyright https://wipolex.wipo.int/en/text/225957",,,,,,"Article 24. (Quotation)
An author may be quoted, whereby quotation shall be understood to mean the inclusion within one’s own work of short excerpts from works by others, provided that the works have already been disclosed, that the source and the name of the author of the work used are stated, that the inclusion is by way of quotation or for analysis, comment or critical assessment, for educational or research purposes, in accordance with proper practice and to the extent justified by the purpose being pursued, and that no infringement of the law occurs.
"
Bosnia and Herzegovina,Law on Copyright and Related Rights https://wipolex.wipo.int/en/text/227216,,,,,"Article 46. (Private/personal use) (2) A natural person may reproduce a work freely:
a) on paper or similar medium, by means of photocopying or other photography technique making similar effect,
b) on any other media, provided that he does it for private use, provided that the copies are not intended for or accessible by the public and provided that such reproduction is not aimed at gaining direct or indirect economic advantage. (4) Unless otherwise provided by this Law or a contract, and independently of the provisions of paragraphs (1), (2) and (3) of this Article, the reproduction of the following shall not be permitted: 
a) written works to the extent of the whole book – unless the copies of such book 
are out of print for a minimum of two years; 
b) graphic editions of musical works (sheet music) – except by means of 
handwritten transcription, 
c) electronic databases and computer programs, 
d) works of architecture, in the form of building an architectural structure, 
e) any work if such reproduction would be contrary to the ordinary exploitation of a 
work and detrimental to the legitimate interests of the author or copyright holder 
to an unreasonable extent. 


",
Botswana,"Copyright and Neighboring Rights Act, 2000 (Chapter 68:02, as amended by Act No. 6 of 2006) https://wipolex.wipo.int/en/text/505430",,,,,"""Article 13. Private reproduction for personal purposes 
(1) Subject to subsection (2), the private reproduction of a published work in a single copy shall be permitted without the authorization of the author or owner of copyright, where the reproduction is made by any person exclusively for his own personal purposes.
(2) The permission granted under subsection (1) shall not extend to reproduction-
(a) of a work of architecture in the form of building or other construction;
(b) in the form of reprography of the whole or a substantial part of a book or of a musical work in the form of notation;
(c) of the whole or a substantial part of a data base;
(d) of a computer, except as provided in section 17; and
(e) of any work in cases where reproduction would conflict with a normal exploitation of the work or would otherwise unreasonably prejudice the legitimate interests of the author or other owner of the copyright.
...
Article 16. Reprographic reproduction by libraries and archives
Any library or archive whose activities do not serve direct or indirect gain may, without the authorization of the author or other owner of copyright, make a single copy of the work by reprographic reproduction-
(a) where the work reproduced is a published article, other short work or short extract of a work, and where the purpose of the reproduction is to satisfy the request of a person, provided that-
(i) the library or archive is satisfied that the copy will be used solely for the purposes of study, scholarship or private research;""",
Brazil,"LAW NO. 9.610 OF FEBRUARY 19, 1998 (LAW ON COPYRIGHT AND NEIGHBORING RIGHTS, AS AMENDED UP TO PROVISIONAL MEASURE NO. 907 OF NOVEMBER 26, 2019). https://wipolex.wipo.int/en/legislation/details/20999",,,,,,"Article 46. (Private use/Quotation)
Does not constitute copyright infringement:
….
II. reproduction, in a single copy of short excerpts, for the private use of the copyist, provided that it is made by the latter, without profit intention; 
"
Brunei Darussalam,"Emergency (Copyright) Order, 1999 https://wipolex.wipo.int/en/text/187417",,,,,"Section 33. General (fair dealing)
(1) Fair dealing with a literary, dramatic, musical or artistic work for the purpose of research or private study does not infringe any copyright in the work or, in the case of a published edition, in the typographical arrangement.
(2) Fair dealing with the typographical arrangement of a published edition for the purpose mentioned in subsection (1) does not infringe any copyright in the arrangement.
(3) Copying by a person, other than the researcher or student himself, is not fair dealing if —
(a) in the case of a librarian, or a person acting on behalf of a librarian, he does anything which regulations under section 44 would not permit to be done under sections 42 or 43; or
(b)in any other case, the person doing the copying knows or has reason to believe that it will result in copies of substantially the same material being provided to more than one person at substantially the same time and for substantially the same purpose.

",
Bulgaria,"Law on Copyright and Neighboring Rights, 1993 (SG No. 56/1993, as amended up to December 13, 2019) (Bulg.), https://wipolex.wipo.int/en/legislation/details/19460",,,,,,"Article 24. - Permissible Free Use without Payment of Compensation (includes libraries)
The following shall be permissible without the consent of the copyright holder and without payment of compensation: 
3. use of parts of published works or of not big number of works in other works in amount, necessary for analysis, commentary or other kind of scientific research; such use shall be permissible only for scientific and educational purposes, indicating the source and the name of the author, unless impossible;
"
Burkina Faso,"Law No. 032-99/AN of December 22, 1999, on the Protection of Literary and Artistic Property https://wipolex.wipo.int/en/text/188420",,,,,"Article 21. (Private/personal use)
Where a work has been legally disclosed, the author may not prohibit:
- private and gratuitous performances held exclusively within the family circle;
- copies or reproductions reserved strictly for the private use of the copier and not intended for collective use, with the exception of:
copies of the works of art or architecture to be used for purposes identical to those for which the original work was created;
the total or substantial reproduction of databases;
the reproduction of computer programs subject to the provisions under Article 23 below;
- the import of a copy of a work by a natural person for personal ends;
- parody, pastiche or caricature subject to the laws of the genre. 

UPDATE: Article 10
Free reproduction for private purposes
(1)Notwithstanding the provisions of Article 8, and subject to those of paragraph 2 of 
this article, it shall be permitted to reproduce a lawfully published work exclusively 
for the private use of the user without the consent of the author and without 
payment of remuneration.
(2)Paragraph (1) shall not apply to the following:
(i) the reproduction of works of architecture in the form of buildings or 
other similar constructions;
(ii) the reprographic reproduction of an entire book, works of fine art, 
or a graphical presentation of musical works, and exercise manuals 
and other publications used once only;
(iii) the reproduction of the whole or of significant parts of databases;
(iv) the reproduction of computer programs, except in the cases 
provided for in Article 17;
(v) copies of software other than the backup copy; and
(vi) any other reproduction of a work that would prejudice the normal 
exploitation of the work or would cause unwarranted prejudice to 
the legitimate interests of the author.
",
Burundi,"Law No. 1/021 of December 30, 2005, on the Protection of Copyright and Related Rights in Burundi https://wipolex.wipo.int/en/text/224340",,,,,"Article 26. (Reproduction without authorization) 
Notwithstanding the provisions of Article 24, the following uses of a protected work, in its original language or in translation, shall be permissible without the author’s consent: ... 5. The reproduction by a photographic or similar process by public libraries, non?commercial documentation centers, scientific institutions and educational establishments, of literary and artistic works which have already been lawfully made available to the public, provided that such reproduction and the number of copies made are limited to the needs of their regular activities and that such reproduction does not conflict with the normal uses of the work nor unreasonably prejudices the legitimate interests of the author.
",
Cabo Verde,,"Cabo Verde
Copyright Law, 1990 (Law No. 101/III/90 of December 29; Decree-Law No. 1/2009 of April 27, 2009, revising the Law on Copyright) (Cape Verde), https://www.wipo.int/edocs/lexdocs/laws/en/cv/cv022en.pdf",,,,"Article 62 - Unrestricted Use
1. The following embodiments of works already lawfully published or disclosed shall be lawful, irrespective of authorization of the respective author and without any need for compensation, as long as the authenticity and integrity of the title and the name of the author are mentioned and respected.
(...)
(b) reproduction by photographic processes or any other similar processes when carried out for exclusively didactic, research or professional training purposes, by libraries, archives and noncommercial documentation centers, scientific institutes or teaching establishments, as long as the copies reproduced do not exceed the needs of the purpose for which they are intended;

",
Cambodia ,Law on Copyright and Related Rights https://wipolex.wipo.int/en/text/567454,,,,,"Article 24.
The private reproduction of a published work in a single copy shall be permitted without the authorization of the author or the right-holder, where the reproduction is made by a natural person exclusively for his own personal purposes.
The permission under the proceeding paragraph of this article shall not extend to the reproduction:
(a) Of a work of architecture in the form of building or other construction;
(b) In the form of reprography of the whole or a substantial part of a book, and of a musical work in the form of musical notation;
(c) Of the whole or of a substantial part of a database in digital form;
(d) Of a computer program, other than a backup-copy.
(e) Of any work, in cases where reproduction would conflict with a normal exploitation of the work or would otherwise unreasonably prejudice the legitimate interests of the author or the rightholder.
",
Cameroon,"Law No. 2000/011 of December 19, 2000, on Copyright and Neighbouring Rights https://wipolex.wipo.int/en/text/125950",,,,,"Bangui. Article 11. Free Reproduction for Private Purposes
(1) Notwithstanding the provisions of Article 9, and subject to those of paragraph (2) of this Article and those of Article 58, it shall be permitted, without the consent of the author and without payment of remuneration, to reproduce a lawfully published work exclusively for the private use of the user.

UPDATE: Article 10
Free reproduction for private purposes
(1)Notwithstanding the provisions of Article 8, and subject to those of paragraph 2 of 
this article, it shall be permitted to reproduce a lawfully published work exclusively 
for the private use of the user without the consent of the author and without 
payment of remuneration.
(2)Paragraph (1) shall not apply to the following:
(i) the reproduction of works of architecture in the form of buildings or 
other similar constructions;
(ii) the reprographic reproduction of an entire book, works of fine art, 
or a graphical presentation of musical works, and exercise manuals 
and other publications used once only;
(iii) the reproduction of the whole or of significant parts of databases;
(iv) the reproduction of computer programs, except in the cases 
provided for in Article 17;
(v) copies of software other than the backup copy; and
(vi) any other reproduction of a work that would prejudice the normal 
exploitation of the work or would cause unwarranted prejudice to 
the legitimate interests of the author.",
Canada,"Copyright Act, 1985 (R.S.C., 1985, c. C-42, as amended up to June 22, 2016) (Can.), https://laws-lois.justice.gc.ca/eng/acts/C-42/page-9.html#h-103270","Section 29. (Research, private study, etc.)
Fair dealing for the purpose of research, private study, education, parody or satire does not infringe copyright.
",,,,,
Cayman Islands ,,,,,,,
Central African Republic,Bangui Agreement,,,,,"""Bangui. Article 11. Free Reproduction for Private Purposes
(1) Notwithstanding the provisions of Article 9, and subject to those of paragraph (2) of this Article and those of Article 58, it shall be permitted, without the consent of the author and without payment of remuneration, to reproduce a lawfully published work exclusively for the private use of the user.

""

UPDATE: Article 10
Free reproduction for private purposes
(1)Notwithstanding the provisions of Article 8, and subject to those of paragraph 2 of 
this article, it shall be permitted to reproduce a lawfully published work exclusively 
for the private use of the user without the consent of the author and without 
payment of remuneration.
(2)Paragraph (1) shall not apply to the following:
(i) the reproduction of works of architecture in the form of buildings or 
other similar constructions;
(ii) the reprographic reproduction of an entire book, works of fine art, 
or a graphical presentation of musical works, and exercise manuals 
and other publications used once only;
(iii) the reproduction of the whole or of significant parts of databases;
(iv) the reproduction of computer programs, except in the cases 
provided for in Article 17;
(v) copies of software other than the backup copy; and
(vi) any other reproduction of a work that would prejudice the normal 
exploitation of the work or would cause unwarranted prejudice to 
the legitimate interests of the author.",
Chad,,"Law on the Protection of Copyright, Neighboring rights and Expressions of Folklore, 2003 (Law No. 005/PR/2003 of May 2nd, 2003) (Chad), https://wipolex.wipo.int/en/text/260828 // Also Bangui",,,,"Article 34. (Reproduction exceptions)
Where a work has been lawfully disclosed, the author may not prohibit ...
2. copies or reproductions reserved strictly for the private use of the copier and not intended for collective use, with the exception of copies of works of art intended to be used for purposes identical to those for which the original work was created;
",
Channel Islands,,,,,,,
Chile,"Law on Intellectual Property, 1970 (Ley N° 17.336, de agosto de 1970 sobre la Propiedad Intelectual, modificada por la Ley N° 21045 del 3 de noviembre de 2017) (Chile), https://www.wipo.int/edocs/lexdocs/laws/en/cl/cl004en.pdf / https://wipolex.wipo.int/en/text/511569 ) 
",,,,,,"Artículo 71 J. (Libraries and archives)
Libraries and archives that are not for profit may, without requiring authorization from the author or owner, or payment of any remuneration, make copies of fragments of works that are in their collections, at the request of a user of the library or archive exclusively for your personal use.
Article 71K. (Electronic reproduction)
Not-For-Profit libraries or archive centers may, without having to seek the authorization of the author or copyright holder or make any form of payment, electronically reproduce works in their collection for free and simultaneous consultation by a reasonable number of users, only in the computer terminal networks of the respective institution and on conditions guaranteeing that the users are unable to make electronic copies of such reproductions.
"
China,,,,,,"Article 22. (Exceptions to copyright)
In the following cases, a work may be exploited without permission from, and without payment of remuneration to, the copyright owner, provided that the name of the author and the title of the work shall be mentioned and the other rights enjoyed by the copyright owner by virtue of this Law shall not be prejudiced: 
(1) use of a published work for the purposes of the user's own private study, research or self-entertainment; 

...(6) translation, or reproduction in a small quantity of copies, of a published work for use by teachers or scientific researchers, in classroom teaching or scientific research, 
provided that the translation or reproduction shall not be published or distributed; ",
Colombia,"LAW NO. 23 OF JANUARY 28, 1982, ON COPYRIGHT (AMENDED BY LAW NO. 1915 OF JULY 12, 2018)",,,,,"Article 37º. The reproduction, by any means, of a literary or scientific work, ordered or obtained by the interested party in a single copy for private and non-profit use, is lawful.

",
Comoros,Bangui,,,,,"Bangui Agreement. Article 11. Free Reproduction for Private Purposes
(1) Notwithstanding the provisions of Article 9, and subject to those of paragraph (2) of this Article and those of Article 58, it shall be permitted, without the consent of the author and without payment of remuneration, to reproduce a lawfully published work exclusively for the private use of the user.

",
"Congo, Dem. Rep.","Ordinance-Law No. 86-033 of April 5, 1986 on the Protection of Copyright and Neighboring Rights https://wipolex.wipo.int/en/text/270217",,,,,,"Art.24 (Quotation)
It shall be lawful to reproduce quotations or excerpts of protected works for cultural, scientific, teaching, critical or polemic purposes, provided that the source, title and name of the author are mentioned. 
"
